unused,R2 threshold,width V,slope mV per decade,i0 A,residual A per V,start V,Tafel R2,LSV R2,reported end V
0.000000000000000000e+00,9.020000000000000240e-01,1.099999999999999936e-02,4.378209003539783595e+01,7.037015438717863142e-08,9.239879191432306309e-05,4.899757395999992937e-02,9.095556220712358586e-01,9.247131690466977583e-01,5.999757395999992526e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.199999999999999852e-02,4.431481500374508187e+01,7.327110055039001854e-08,8.693241562035958073e-05,4.799805978899995829e-02,9.067192220513076162e-01,9.176522115892048470e-01,5.999805978899995507e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.299999999999999767e-02,4.340427059637917040e+01,6.860815903505400428e-08,8.453567518797263280e-05,4.699838312300008702e-02,9.095944076399569145e-01,9.125435344102219570e-01,5.999838312300008469e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.399999999999999682e-02,4.377120224367934753e+01,7.030686204754930410e-08,8.564220810635932504e-05,4.699838312300008702e-02,9.170779001729770785e-01,9.222089764633810693e-01,6.099838312300008558e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.499999999999999598e-02,4.374991421413630377e+01,7.020735853175892273e-08,8.836076420983915588e-05,4.699838312300008702e-02,9.253634847561800214e-01,9.273945191349288741e-01,6.199838312300008647e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.599999999999999339e-02,4.420884141823012214e+01,7.237530355562581868e-08,8.919788602587049053e-05,4.699838312300008702e-02,9.304128711683055108e-01,9.348748858369645420e-01,6.299838312300007348e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.699999999999999428e-02,4.461311301327636869e+01,7.431361413810615676e-08,9.030708766292531412e-05,4.699838312300008702e-02,9.351893198053172762e-01,9.411169551151323809e-01,6.399838312300007437e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.799999999999999517e-02,4.473737412816945636e+01,7.491614761367192706e-08,9.265918038690491181e-05,4.699838312300008702e-02,9.407180616604140511e-01,9.438397623166847605e-01,6.499838312300007526e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.899999999999999259e-02,4.467967064534995814e+01,7.463450636871746632e-08,9.593048344500491951e-05,4.699838312300008702e-02,9.460921759555996902e-01,9.425641064320471330e-01,6.599838312300007614e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.999999999999999001e-02,4.126256549259398554e+01,5.619803557578030003e-08,9.395018565161825802e-05,4.599919166499999434e-02,9.034226469614152766e-01,9.491044217915917125e-01,6.599919166499998435e-02
