Overpotential / V,Current / A,Tafel
2.749999999999999112e-01,7.444000000000001234e-05,-4.128193635541270723e+00
2.760000000000000231e-01,7.646999999999999121e-05,-4.116508909811070538e+00
2.770000000000001350e-01,7.788000000000000651e-05,-4.108574057152005743e+00
2.780000000000000249e-01,7.982999999999999970e-05,-4.097833870728949002e+00
2.789999999999999147e-01,8.178000000000000644e-05,-4.087352893781682539e+00
2.800000000000000266e-01,8.319000000000000819e-05,-4.079928875702475644e+00
2.810000000000001386e-01,8.561000000000000196e-05,-4.067475502949458033e+00
2.820000000000000284e-01,8.787000000000001082e-05,-4.056159373598738682e+00
2.829999999999999183e-01,9.069000000000001431e-05,-4.042440598102520433e+00
2.840000000000000302e-01,9.342000000000001019e-05,-4.029560137048235902e+00
2.850000000000001421e-01,9.576000000000000473e-05,-4.018815862601646138e+00
2.860000000000000320e-01,9.904000000000000043e-05,-4.004189368323957332e+00
2.869999999999999218e-01,1.019000000000000103e-04,-3.991825815993573556e+00
2.880000000000000338e-01,1.054000000000000005e-04,-3.977159389123472000e+00
2.890000000000001457e-01,1.087000000000000130e-04,-3.963770455913705248e+00
2.900000000000000355e-01,1.131000000000000115e-04,-3.946537395074544818e+00
2.909999999999999254e-01,1.165000000000000128e-04,-3.933674074637962370e+00
2.920000000000000373e-01,1.212000000000000051e-04,-3.916497380169732700e+00
2.930000000000001492e-01,1.257999999999999949e-04,-3.900319358890750099e+00
2.940000000000000391e-01,1.307000000000000056e-04,-3.883724412419455874e+00
2.949999999999999289e-01,1.355000000000000139e-04,-3.868060704789575421e+00
2.960000000000000409e-01,1.409999999999999849e-04,-3.850780887344620318e+00
2.970000000000001528e-01,1.458999999999999956e-04,-3.835944708106548529e+00
2.980000000000000426e-01,1.526000000000000230e-04,-3.816445466381138463e+00
2.989999999999999325e-01,1.586000000000000062e-04,-3.799696817018415107e+00
3.000000000000000444e-01,1.653000000000000064e-04,-3.781727146428552455e+00
3.010000000000001563e-01,1.721999999999999844e-04,-3.763966852882364211e+00
3.020000000000000462e-01,1.799999999999999842e-04,-3.744727494896693987e+00
3.029999999999999361e-01,1.869000000000000164e-04,-3.728390698621168120e+00
3.040000000000000480e-01,1.950000000000000236e-04,-3.709965388637482153e+00
3.050000000000001599e-01,2.036000000000000158e-04,-3.691222226335278744e+00
3.060000000000000497e-01,2.134000000000000100e-04,-3.670805584911549069e+00
3.069999999999999396e-01,2.227000000000000193e-04,-3.652279782965961896e+00
3.080000000000000515e-01,2.331000000000000010e-04,-3.632457726479423332e+00
3.090000000000001634e-01,2.433000000000000050e-04,-3.613857891069181427e+00
3.100000000000000533e-01,2.541999999999999989e-04,-3.594824453782010654e+00
3.109999999999999432e-01,2.655000000000000025e-04,-3.575935474582512263e+00
3.120000000000000551e-01,2.778999999999999786e-04,-3.556111453222628338e+00
3.130000000000001670e-01,2.897999999999999968e-04,-3.537901618864844444e+00
3.140000000000000568e-01,3.028000000000000418e-04,-3.518844129171964763e+00
3.149999999999999467e-01,3.164999999999999953e-04,-3.499626285646626034e+00
3.160000000000000586e-01,3.312000000000000274e-04,-3.479909671887157607e+00
3.170000000000001705e-01,3.469999999999999777e-04,-3.459670525209126435e+00
3.180000000000000604e-01,3.633999999999999969e-04,-3.439615077027984302e+00
3.189999999999999503e-01,3.800000000000000209e-04,-3.420216403383189885e+00
3.200000000000000622e-01,3.974000000000000102e-04,-3.400772137226203640e+00
3.210000000000001741e-01,4.159999999999999744e-04,-3.380906669373257234e+00
3.220000000000000639e-01,4.356999999999999654e-04,-3.360812440064246065e+00
3.229999999999999538e-01,4.563999999999999806e-04,-3.340654364253822894e+00
3.240000000000000657e-01,4.789999999999999879e-04,-3.319664486585436780e+00
3.250000000000001776e-01,5.016000000000000493e-04,-3.299642472177339858e+00
3.260000000000000675e-01,5.253000000000000291e-04,-3.279592599196891278e+00
3.269999999999999574e-01,5.500000000000000331e-04,-3.259637310505756336e+00
3.280000000000000693e-01,5.764000000000000243e-04,-3.239276027858048135e+00
3.290000000000001812e-01,6.040000000000000447e-04,-3.218963061378868229e+00
3.300000000000000711e-01,6.324999999999999243e-04,-3.198939470152144526e+00
3.309999999999999609e-01,6.609000000000000725e-04,-3.179864248129570026e+00
3.320000000000000728e-01,6.911000000000000476e-04,-3.160459107031031056e+00
3.330000000000001847e-01,7.240999999999999824e-04,-3.140201452519434167e+00
3.340000000000000746e-01,7.563000000000000061e-04,-3.121305899603891820e+00
3.349999999999999645e-01,7.893999999999999975e-04,-3.102702877940503257e+00
3.360000000000000764e-01,8.250999999999999437e-04,-3.083493412884844354e+00
3.370000000000001883e-01,8.638000000000000712e-04,-3.063586800288520262e+00
3.380000000000000782e-01,9.022999999999999771e-04,-3.044649042632340041e+00
3.389999999999999680e-01,9.403999999999999816e-04,-3.026687379547098100e+00
3.400000000000000799e-01,9.824000000000000267e-04,-3.007711646202907652e+00
3.410000000000001918e-01,1.024999999999999870e-03,-2.989276134608227053e+00
3.420000000000000817e-01,1.069999999999999988e-03,-2.970616222314790278e+00
3.429999999999999716e-01,1.118000000000000070e-03,-2.951558196449595606e+00
3.440000000000000835e-01,1.163999999999999887e-03,-2.934047019686130575e+00
3.450000000000001954e-01,1.213000000000000102e-03,-2.916139199133426896e+00
3.460000000000000853e-01,1.262000000000000101e-03,-2.898940645091884427e+00
3.469999999999999751e-01,1.312999999999999931e-03,-2.881735273910520867e+00
3.480000000000000870e-01,1.370000000000000124e-03,-2.863279432843593320e+00
3.490000000000001990e-01,1.425999999999999967e-03,-2.845880474484153044e+00
3.500000000000000888e-01,1.482000000000000027e-03,-2.829151796356690785e+00
3.509999999999999787e-01,1.541999999999999968e-03,-2.811915626285061975e+00
3.520000000000000906e-01,1.605000000000000090e-03,-2.794524963259108929e+00
3.530000000000002025e-01,1.665999999999999946e-03,-2.778325002929231236e+00
3.540000000000000924e-01,1.729000000000000068e-03,-2.762205006726077272e+00
3.549999999999999822e-01,1.796000000000000070e-03,-2.745693667668714255e+00
3.560000000000000941e-01,1.871000000000000050e-03,-2.727926212499990122e+00
3.570000000000002061e-01,1.941000000000000017e-03,-2.711974464611637270e+00
3.580000000000000959e-01,2.011000000000000201e-03,-2.696587929403257977e+00
3.589999999999999858e-01,2.083999999999999915e-03,-2.681102285372513272e+00
3.600000000000000977e-01,2.158999999999999895e-03,-2.665747357665769091e+00
3.610000000000002096e-01,2.233999999999999875e-03,-2.650916831220409886e+00
3.620000000000000995e-01,2.314999999999999784e-03,-2.635449004646027937e+00
3.629999999999999893e-01,2.399000000000000091e-03,-2.619969752032169197e+00
3.640000000000001013e-01,2.480000000000000000e-03,-2.605548319173783600e+00
3.650000000000002132e-01,2.565999999999999705e-03,-2.590743347961090404e+00
3.660000000000001030e-01,2.654000000000000109e-03,-2.576099081471583396e+00
3.669999999999999929e-01,2.740999999999999947e-03,-2.562090964460501663e+00
3.680000000000001048e-01,2.834000000000000147e-03,-2.547600154088558444e+00
3.690000000000002167e-01,2.930000000000000313e-03,-2.533132379645890442e+00
3.700000000000001066e-01,3.026000000000000044e-03,-2.519131076312832285e+00
3.709999999999999964e-01,3.124000000000000041e-03,-2.505288974794737111e+00
3.720000000000001084e-01,3.224000000000000303e-03,-2.491604966866947102e+00
3.730000000000002203e-01,3.327000000000000096e-03,-2.477947199131177669e+00
3.740000000000001101e-01,3.430000000000000323e-03,-2.464705879957229673e+00
3.750000000000000000e-01,3.536000000000000081e-03,-2.451487743658964380e+00
3.760000000000001119e-01,3.641999999999999838e-03,-2.438660058541098685e+00
3.770000000000002238e-01,3.746000000000000198e-03,-2.426432226960781424e+00
3.780000000000001137e-01,3.856000000000000053e-03,-2.413862974769206637e+00
3.790000000000000036e-01,3.970000000000000438e-03,-2.401209493236884818e+00
3.800000000000001155e-01,4.088000000000000488e-03,-2.388489112873343423e+00
3.810000000000002274e-01,4.205000000000000404e-03,-2.376233999866069091e+00
3.820000000000001172e-01,4.328999999999999515e-03,-2.363612414186843314e+00
3.830000000000000071e-01,4.451000000000000095e-03,-2.351542405717477635e+00
3.840000000000001190e-01,4.578000000000000472e-03,-2.339324211661475861e+00
3.850000000000002309e-01,4.700000000000000185e-03,-2.327902142064282476e+00
3.860000000000001208e-01,4.825999999999999561e-03,-2.316412682427233083e+00
3.870000000000000107e-01,4.950999999999999672e-03,-2.305307073668515727e+00
3.879999999999999005e-01,5.078000000000000048e-03,-2.294307303462296499e+00
3.890000000000000124e-01,5.202000000000000027e-03,-2.283829652140146216e+00
3.900000000000001243e-01,5.337999999999999863e-03,-2.272621430548511068e+00
3.910000000000000142e-01,5.474999999999999832e-03,-2.261615876487844012e+00
3.919999999999999041e-01,5.615000000000000199e-03,-2.250650239402523400e+00
3.930000000000000160e-01,5.753000000000000301e-03,-2.240105625974500914e+00
3.940000000000001279e-01,5.896000000000000199e-03,-2.229442525149004872e+00
3.950000000000000178e-01,6.037999999999999964e-03,-2.219106891312921270e+00
3.959999999999999076e-01,6.171000000000000270e-03,-2.209644453585613455e+00
3.970000000000000195e-01,6.317999999999999831e-03,-2.199420378430869683e+00
3.980000000000001315e-01,6.466999999999999658e-03,-2.189297139052883256e+00
3.990000000000000213e-01,6.615000000000000220e-03,-2.179470151476480044e+00
3.999999999999999112e-01,6.762999999999999914e-03,-2.169860612574657122e+00
4.010000000000000231e-01,6.926000000000000732e-03,-2.159517512786557791e+00
4.020000000000001350e-01,7.079000000000000223e-03,-2.150028087671149724e+00
4.030000000000000249e-01,7.229000000000000183e-03,-2.140921775253030734e+00
4.039999999999999147e-01,7.386000000000000204e-03,-2.131590696685039976e+00
4.050000000000000266e-01,7.545000000000000491e-03,-2.122340755888391328e+00
4.060000000000001386e-01,7.707000000000000309e-03,-2.113114641013991157e+00
4.070000000000000284e-01,7.873999999999999055e-03,-2.103804589545789305e+00
4.079999999999999183e-01,8.038000000000000006e-03,-2.094851998143984151e+00
4.090000000000000302e-01,8.208999999999999284e-03,-2.085709744334050875e+00
4.100000000000001421e-01,8.373000000000000234e-03,-2.077118908791706353e+00
