Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
58.4,0.7845,1.7135,
58.5,0.7846,1.7136,
58.6,0.7846,1.7136,
58.7,0.7846,1.7136,
58.8,0.7846,1.7136,
58.9,0.7846,1.7136,
59,0.7846,1.7136,
59.1,0.7847,1.7137,
59.2,0.7847,1.7137,
59.3,0.7848,1.7138,
59.4,0.7847,1.7137,
59.5,0.7847,1.7137,
59.6,0.7847,1.7137,
59.7,0.7848,1.7138,
59.8,0.7847,1.7137,
59.9,0.7847,1.7137,
60,0.7847,1.7137,
60.1,0.7848,1.7138,
60.2,0.7848,1.7138,
60.3,0.7848,1.7138,
60.4,0.7848,1.7138,
60.5,0.7849,1.7139,
60.6,0.7849,1.7139,
60.7,0.7849,1.7139,
60.8,0.7848,1.7138,
60.9,0.7849,1.7139,
61,0.7849,1.7139,
61.1,0.785,1.714,
61.2,0.785,1.714,
61.3,0.785,1.714,
61.4,0.7851,1.7141,
61.5,0.785,1.714,
61.6,0.7849,1.7139,
61.7,0.785,1.714,
61.8,0.785,1.714,
61.9,0.7851,1.7141,
62,0.7851,1.7141,
62.1,0.7851,1.7141,
62.2,0.7851,1.7141,
62.3,0.7851,1.7141,
62.4,0.7852,1.7142,
62.5,0.7851,1.7141,
62.6,0.785,1.714,
62.7,0.7851,1.7141,
62.8,0.7851,1.7141,
62.9,0.7852,1.7142,
63,0.7852,1.7142,
63.1,0.7853,1.7143,
63.2,0.7853,1.7143,
63.3,0.7852,1.7142,
63.4,0.7853,1.7143,
63.5,0.7853,1.7143,
63.6,0.7853,1.7143,
63.7,0.7853,1.7143,
63.8,0.7854,1.7144,
63.9,0.7854,1.7144,
64,0.7853,1.7143,
64.1,0.7854,1.7144,
64.2,0.7853,1.7143,
64.3,0.7854,1.7144,
64.4,0.7854,1.7144,
64.5,0.7855,1.7145,
64.6,0.7855,1.7145,
64.7,0.7855,1.7145,
64.8,0.7855,1.7145,
64.9,0.7855,1.7145,
65,0.7855,1.7145,
65.1,0.7855,1.7145,
65.2,0.7855,1.7145,
65.3,0.7855,1.7145,
65.4,0.7855,1.7145,
65.5,0.7855,1.7145,
65.6,0.7856,1.7146,
65.7,0.7855,1.7145,
65.8,0.7855,1.7145,
65.9,0.7855,1.7145,
66,0.7856,1.7146,
66.1,0.7856,1.7146,
66.2,0.7857,1.7147,
66.3,0.7857,1.7147,
66.4,0.7856,1.7146,
66.5,0.7857,1.7147,
66.6,0.7857,1.7147,
66.7,0.7857,1.7147,
66.8,0.7857,1.7147,
66.9,0.7858,1.7148,
67,0.7857,1.7147,
67.1,0.7857,1.7147,
67.2,0.7858,1.7148,
67.3,0.7858,1.7148,
67.4,0.7858,1.7148,
67.5,0.7858,1.7148,
67.6,0.7858,1.7148,
67.7,0.7858,1.7148,
67.8,0.7858,1.7148,
67.9,0.7858,1.7148,
68,0.7858,1.7148,
68.1,0.7859,1.7149,
68.2,0.7858,1.7148,
68.3,0.7859,1.7149,
68.4,0.7859,1.7149,
68.5,0.786,1.715,
68.6,0.786,1.715,
68.7,0.7859,1.7149,
68.8,0.7859,1.7149,
68.9,0.7859,1.7149,
69,0.7859,1.7149,
69.1,0.7859,1.7149,
69.2,0.786,1.715,
69.3,0.786,1.715,
69.4,0.786,1.715,
69.5,0.7861,1.7151,
69.6,0.7861,1.7151,
