Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Equilibrium potential (V vs. RHE),1.23
Working area (cm^2),2

Point,Corrected potential (V),Current density (mA/cm^2),log10(|j| / mA cm^-2),Overpotential (V)
341,0.34,7.81e-05,-4.1073489661227,-0.8899999999999999
342,0.341,3.9055e-05,-4.408323357858316,-0.889
343,0.342,0.0001562,-3.8063189704587184,-0.8879999999999999
344,0.343,0.0002734,-3.5632014897681965,-0.887
345,0.344,0.00011715,-3.9312577070670183,-0.886
346,0.345,0.00019525,-3.709408957450662,-0.885
347,0.346,0.00023435,-3.630135042143771,-0.884
348,0.347,0.00019525,-3.709408957450662,-0.883
349,0.348,0.00039055000000000003,-3.4083233578583156,-0.882
350,0.349,0.00046865,-3.3291513786377154,-0.881
351,0.35,0.0005859999999999999,-3.232102383981909,-0.88
352,0.351,0.000625,-3.2041199826559246,-0.879
353,0.352,0.00039055000000000003,-3.4083233578583156,-0.878
354,0.353,0.0004296,-3.3669357273085008,-0.877
355,0.354,0.0005859999999999999,-3.232102383981909,-0.876
356,0.355,0.0005859999999999999,-3.232102383981909,-0.875
357,0.356,0.000625,-3.2041199826559246,-0.874
358,0.357,0.000781,-3.1073489661226996,-0.873
359,0.358,0.000625,-3.2041199826559246,-0.872
360,0.359,0.000703,-3.153044674980176,-0.871
361,0.36,0.000703,-3.153044674980176,-0.87
362,0.361,0.000859,-3.0660068361687576,-0.869
363,0.362,0.000781,-3.1073489661226996,-0.868
364,0.363,0.0008985,-3.046481918555007,-0.867
365,0.364,0.0010155000000000001,-2.9933200722591744,-0.866
366,0.365,0.0010935,-2.961181212626344,-0.865
367,0.366,0.0010935,-2.961181212626344,-0.864
368,0.367,0.001328,-2.8768019249680012,-0.863
369,0.368,0.00125,-2.9030899869919438,-0.862
370,0.369,0.0012105000000000002,-2.9170352062222484,-0.861
371,0.37,0.001367,-2.8642314854321778,-0.86
372,0.371,0.001406,-2.852014679316195,-0.859
373,0.372,0.001406,-2.852014679316195,-0.858
374,0.373,0.0014839999999999999,-2.828566099056992,-0.857
375,0.374,0.0016405,-2.7850237652779337,-0.856
376,0.375,0.0016015,-2.7954730570001596,-0.855
377,0.376,0.0016795,-2.774819991822317,-0.854
378,0.377,0.0018355000000000001,-2.7362456111599944,-0.853
379,0.378,0.0019920000000000003,-2.70071066591232,-0.852
380,0.379,0.0020310000000000003,-2.692290076595193,-0.851
381,0.38,0.0018355000000000001,-2.7362456111599944,-0.85
382,0.381,0.001953,-2.7092977567121457,-0.849
383,0.382,0.002226,-2.6524748400013105,-0.848
384,0.383,0.0023045,-2.6374232875394608,-0.847
385,0.384,0.0023045,-2.6374232875394608,-0.846
386,0.385,0.0024215,-2.615915526617442,-0.845
387,0.386,0.002773,-2.5570501304221382,-0.844
388,0.387,0.002695,-2.5694412304772425,-0.843
389,0.388,0.0026555,-2.5758536942448442,-0.842
