Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Working area (cm^2),2

Point,Original Potential (V),Original Current (mA),"Potential (V, iR-corrected)",Current density / mA cm^-2
165,0.164,-0.006717,0.164,-0.0033585
166,0.165,-0.006874,0.165,-0.003437
167,0.166,-0.006482999999999999,0.166,-0.0032414999999999996
168,0.167,-0.006717,0.167,-0.0033585
169,0.168,-0.006796,0.168,-0.003398
170,0.169,-0.006482999999999999,0.169,-0.0032414999999999996
171,0.17,-0.006639,0.17,-0.0033195
172,0.171,-0.006561,0.171,-0.0032805
173,0.172,-0.006171,0.172,-0.0030855
174,0.173,-0.006482999999999999,0.173,-0.0032414999999999996
175,0.174,-0.006639,0.174,-0.0033195
176,0.175,-0.006327,0.175,-0.0031635
177,0.176,-0.006796,0.176,-0.003398
178,0.177,-0.006482999999999999,0.177,-0.0032414999999999996
179,0.178,-0.006561,0.178,-0.0032805
180,0.179,-0.006561,0.179,-0.0032805
181,0.18,-0.00703,0.18,-0.003515
182,0.181,-0.006482999999999999,0.181,-0.0032414999999999996
183,0.182,-0.006561,0.182,-0.0032805
184,0.183,-0.006717,0.183,-0.0033585
185,0.184,-0.006404999999999999,0.184,-0.0032024999999999996
186,0.185,-0.006639,0.185,-0.0033195
187,0.186,-0.006874,0.186,-0.003437
188,0.187,-0.006327,0.187,-0.0031635
189,0.188,-0.006404999999999999,0.188,-0.0032024999999999996
190,0.189,-0.006639,0.189,-0.0033195
191,0.19,-0.006561,0.19,-0.0032805
192,0.191,-0.006796,0.191,-0.003398
193,0.192,-0.006796,0.192,-0.003398
194,0.193,-0.006639,0.193,-0.0033195
195,0.194,-0.006874,0.194,-0.003437
196,0.195,-0.006561,0.195,-0.0032805
197,0.196,-0.006249,0.196,-0.0031245
198,0.197,-0.0059359999999999994,0.197,-0.0029679999999999997
199,0.198,-0.006093,0.198,-0.0030465
200,0.199,-0.0058579999999999995,0.199,-0.0029289999999999997
201,0.2,-0.006171,0.2,-0.0030855
202,0.201,-0.0059359999999999994,0.201,-0.0029679999999999997
203,0.202,-0.0059359999999999994,0.202,-0.0029679999999999997
204,0.203,-0.006249,0.203,-0.0031245
205,0.204,-0.006171,0.204,-0.0030855
206,0.205,-0.006093,0.205,-0.0030465
207,0.206,-0.0057799999999999995,0.206,-0.0028899999999999998
208,0.207,-0.0059359999999999994,0.207,-0.0029679999999999997
209,0.208,-0.006014,0.208,-0.003007
210,0.209,-0.006249,0.209,-0.0031245
211,0.21,-0.006327,0.21,-0.0031635
212,0.211,-0.006639,0.211,-0.0033195
213,0.212,-0.006327,0.212,-0.0031635
214,0.213,-0.006249,0.213,-0.0031245
215,0.214,-0.006014,0.214,-0.003007
216,0.215,-0.006327,0.215,-0.0031635
217,0.216,-0.006404999999999999,0.216,-0.0032024999999999996
218,0.217,-0.006249,0.217,-0.0031245
219,0.218,-0.006014,0.218,-0.003007
220,0.219,-0.006014,0.219,-0.003007
221,0.22,-0.006014,0.22,-0.003007
222,0.221,-0.006482999999999999,0.221,-0.0032414999999999996
223,0.222,-0.006249,0.222,-0.0031245
224,0.223,-0.0058579999999999995,0.223,-0.0029289999999999997
225,0.224,-0.006171,0.224,-0.0030855
226,0.225,-0.0059359999999999994,0.225,-0.0029679999999999997
227,0.226,-0.006482999999999999,0.226,-0.0032414999999999996
228,0.227,-0.0059359999999999994,0.227,-0.0029679999999999997
229,0.228,-0.005624,0.228,-0.002812
230,0.229,-0.006014,0.229,-0.003007
231,0.23,-0.006093,0.23,-0.0030465
232,0.231,-0.006171,0.231,-0.0030855
233,0.232,-0.006093,0.232,-0.0030465
234,0.233,-0.006171,0.233,-0.0030855
235,0.234,-0.0058579999999999995,0.234,-0.0029289999999999997
236,0.235,-0.0057799999999999995,0.235,-0.0028899999999999998
237,0.236,-0.0057799999999999995,0.236,-0.0028899999999999998
238,0.237,-0.006014,0.237,-0.003007
239,0.238,-0.005624,0.238,-0.002812
240,0.239,-0.005468,0.239,-0.002734
241,0.24,-0.005624,0.24,-0.002812
242,0.241,-0.005546,0.241,-0.002773
243,0.242,-0.005702,0.242,-0.002851
244,0.243,-0.005468,0.243,-0.002734
245,0.244,-0.005233,0.244,-0.0026165
246,0.245,-0.005077,0.245,-0.0025385
247,0.246,-0.005233,0.246,-0.0026165
248,0.247,-0.00539,0.247,-0.002695
249,0.248,-0.004999,0.248,-0.0024995
250,0.249,-0.005233,0.249,-0.0026165
251,0.25,-0.004921,0.25,-0.0024605
252,0.251,-0.004765,0.251,-0.0023825
253,0.252,-0.004609,0.252,-0.0023045
254,0.253,-0.004687,0.253,-0.0023435
255,0.254,-0.004609,0.254,-0.0023045
256,0.255,-0.004296,0.255,-0.002148
257,0.256,-0.004765,0.256,-0.0023825
258,0.257,-0.004765,0.257,-0.0023825
259,0.258,-0.005312,0.258,-0.002656
260,0.259,-0.004999,0.259,-0.0024995
261,0.26,-0.004687,0.26,-0.0023435
262,0.261,-0.004765,0.261,-0.0023825
263,0.262,-0.004687,0.262,-0.0023435
264,0.263,-0.004843,0.263,-0.0024215
265,0.264,-0.004687,0.264,-0.0023435
266,0.265,-0.004687,0.265,-0.0023435
267,0.266,-0.004687,0.266,-0.0023435
268,0.267,-0.004218,0.267,-0.002109
269,0.268,-0.0041400000000000005,0.268,-0.0020700000000000002
270,0.269,-0.004374,0.269,-0.002187
271,0.27,-0.004452,0.27,-0.002226
272,0.271,-0.0040620000000000005,0.271,-0.0020310000000000003
273,0.272,-0.004374,0.272,-0.002187
274,0.273,-0.0041400000000000005,0.273,-0.0020700000000000002
275,0.274,-0.004296,0.274,-0.002148
276,0.275,-0.004296,0.275,-0.002148
277,0.276,-0.004296,0.276,-0.002148
278,0.277,-0.003906,0.277,-0.001953
279,0.278,-0.003827,0.278,-0.0019135
280,0.279,-0.003906,0.279,-0.001953
281,0.28,-0.0040620000000000005,0.28,-0.0020310000000000003
282,0.281,-0.003827,0.281,-0.0019135
283,0.282,-0.0040620000000000005,0.282,-0.0020310000000000003
284,0.283,-0.003749,0.283,-0.0018745
285,0.284,-0.003827,0.284,-0.0019135
286,0.285,-0.003749,0.285,-0.0018745
287,0.286,-0.0035930000000000003,0.286,-0.0017965000000000001
288,0.287,-0.0035930000000000003,0.287,-0.0017965000000000001
289,0.288,-0.0036710000000000002,0.288,-0.0018355000000000001
290,0.289,-0.0036710000000000002,0.289,-0.0018355000000000001
291,0.29,-0.0036710000000000002,0.29,-0.0018355000000000001
292,0.291,-0.003515,0.291,-0.0017575
293,0.292,-0.003281,0.292,-0.0016405
294,0.293,-0.0028899999999999998,0.293,-0.0014449999999999999
295,0.294,-0.003203,0.294,-0.0016015
296,0.295,-0.0029679999999999997,0.295,-0.0014839999999999999
297,0.296,-0.0025,0.296,-0.00125
298,0.297,-0.002734,0.297,-0.001367
299,0.298,-0.0024210000000000004,0.298,-0.0012105000000000002
300,0.299,-0.0024210000000000004,0.299,-0.0012105000000000002
301,0.3,-0.0025,0.3,-0.00125
302,0.301,-0.002265,0.301,-0.0011325
303,0.302,-0.0029679999999999997,0.302,-0.0014839999999999999
304,0.303,-0.0025,0.303,-0.00125
305,0.304,-0.0025,0.304,-0.00125
306,0.305,-0.002343,0.305,-0.0011715
307,0.306,-0.0024210000000000004,0.306,-0.0012105000000000002
308,0.307,-0.0020310000000000003,0.307,-0.0010155000000000001
309,0.308,-0.001718,0.308,-0.000859
310,0.309,-0.0018750000000000001,0.309,-0.0009375000000000001
311,0.31,-0.001953,0.31,-0.0009765
312,0.311,-0.001718,0.311,-0.000859
313,0.312,-0.001718,0.312,-0.000859
314,0.313,-0.0018750000000000001,0.313,-0.0009375000000000001
315,0.314,-0.001797,0.314,-0.0008985
316,0.315,-0.00125,0.315,-0.000625
317,0.316,-0.0009373,0.316,-0.00046865
318,0.317,-0.0008592,0.317,-0.0004296
319,0.318,-0.00125,0.318,-0.000625
320,0.319,-0.0008592,0.319,-0.0004296
321,0.32,-0.0008592,0.32,-0.0004296
322,0.321,-0.0001562,0.321,-7.81e-05
323,0.322,-0.0003906,0.322,-0.0001953
324,0.323,-0.001406,0.323,-0.000703
325,0.324,-0.0008592,0.324,-0.0004296
326,0.325,-0.0008592,0.325,-0.0004296
327,0.326,-0.0009373,0.326,-0.00046865
328,0.327,-0.0005468,0.327,-0.0002734
329,0.328,-0.0008592,0.328,-0.0004296
330,0.329,-0.0004687,0.329,-0.00023435
331,0.33,-0.0003906,0.33,-0.0001953
332,0.331,0.0002343,0.331,0.00011715
333,0.332,-0.0002343,0.332,-0.00011715
334,0.333,-0.0001562,0.333,-7.81e-05
335,0.334,0.0003905,0.334,0.00019525
336,0.335,-4.283e-09,0.335,-2.1415e-09
337,0.336,0.0003905,0.336,0.00019525
338,0.337,0.0003905,0.337,0.00019525
339,0.338,-0.0001562,0.338,-7.81e-05
340,0.339,-0.0001562,0.339,-7.81e-05
341,0.34,0.0001562,0.34,7.81e-05
342,0.341,7.811e-05,0.341,3.9055e-05
343,0.342,0.0003124,0.342,0.0001562
344,0.343,0.0005468,0.343,0.0002734
345,0.344,0.0002343,0.344,0.00011715
346,0.345,0.0003905,0.345,0.00019525
347,0.346,0.0004687,0.346,0.00023435
348,0.347,0.0003905,0.347,0.00019525
349,0.348,0.0007811000000000001,0.348,0.00039055000000000003
350,0.349,0.0009373,0.349,0.00046865
351,0.35,0.0011719999999999999,0.35,0.0005859999999999999
352,0.351,0.00125,0.351,0.000625
353,0.352,0.0007811000000000001,0.352,0.00039055000000000003
354,0.353,0.0008592,0.353,0.0004296
355,0.354,0.0011719999999999999,0.354,0.0005859999999999999
356,0.355,0.0011719999999999999,0.355,0.0005859999999999999
357,0.356,0.00125,0.356,0.000625
358,0.357,0.001562,0.357,0.000781
359,0.358,0.00125,0.358,0.000625
360,0.359,0.001406,0.359,0.000703
361,0.36,0.001406,0.36,0.000703
362,0.361,0.001718,0.361,0.000859
363,0.362,0.001562,0.362,0.000781
364,0.363,0.001797,0.363,0.0008985
365,0.364,0.0020310000000000003,0.364,0.0010155000000000001
366,0.365,0.002187,0.365,0.0010935
367,0.366,0.002187,0.366,0.0010935
368,0.367,0.002656,0.367,0.001328
369,0.368,0.0025,0.368,0.00125
370,0.369,0.0024210000000000004,0.369,0.0012105000000000002
371,0.37,0.002734,0.37,0.001367
372,0.371,0.002812,0.371,0.001406
373,0.372,0.002812,0.372,0.001406
374,0.373,0.0029679999999999997,0.373,0.0014839999999999999
375,0.374,0.003281,0.374,0.0016405
376,0.375,0.003203,0.375,0.0016015
377,0.376,0.003359,0.376,0.0016795
378,0.377,0.0036710000000000002,0.377,0.0018355000000000001
379,0.378,0.0039840000000000006,0.378,0.0019920000000000003
380,0.379,0.0040620000000000005,0.379,0.0020310000000000003
381,0.38,0.0036710000000000002,0.38,0.0018355000000000001
382,0.381,0.003906,0.381,0.001953
383,0.382,0.004452,0.382,0.002226
384,0.383,0.004609,0.383,0.0023045
385,0.384,0.004609,0.384,0.0023045
386,0.385,0.004843,0.385,0.0024215
387,0.386,0.005546,0.386,0.002773
388,0.387,0.00539,0.387,0.002695
389,0.388,0.005311,0.388,0.0026555
390,0.389,0.005702,0.389,0.002851
391,0.39,0.006249,0.39,0.0031245
392,0.391,0.0059359999999999994,0.391,0.0029679999999999997
393,0.392,0.006014,0.392,0.003007
394,0.393,0.006639,0.393,0.0033195
395,0.394,0.007108000000000001,0.394,0.0035540000000000003
396,0.395,0.0071860000000000005,0.395,0.0035930000000000003
397,0.396,0.0072640000000000005,0.396,0.0036320000000000002
398,0.397,0.0073420000000000004,0.397,0.0036710000000000002
399,0.398,0.007733,0.398,0.0038665
400,0.399,0.007811,0.399,0.0039055
401,0.4,0.008358,0.4,0.004179
402,0.401,0.008983,0.401,0.0044915
403,0.402,0.008983,0.402,0.0044915
404,0.403,0.01023,0.403,0.005115
405,0.404,0.01008,0.404,0.00504
406,0.405,0.01062,0.405,0.00531
407,0.406,0.011559999999999999,0.406,0.0057799999999999995
408,0.407,0.01219,0.407,0.006095
409,0.408,0.0132,0.408,0.0066
410,0.409,0.01219,0.409,0.006095
411,0.41,0.014759999999999999,0.41,0.007379999999999999
412,0.411,0.016249999999999997,0.411,0.008124999999999999
413,0.412,0.018510000000000002,0.412,0.009255000000000001
414,0.413,0.0207,0.413,0.01035
415,0.414,0.02296,0.414,0.01148
416,0.415,0.02749,0.415,0.013745
417,0.416,0.03163,0.416,0.015815
418,0.417,0.03757,0.417,0.018785
419,0.418,0.04444,0.418,0.02222
420,0.419,0.054599999999999996,0.419,0.027299999999999998
421,0.42,0.06685999999999999,0.42,0.033429999999999994
422,0.421,0.08288000000000001,0.421,0.041440000000000005
423,0.422,0.10189999999999999,0.422,0.050949999999999995
424,0.423,0.12789999999999999,0.423,0.06394999999999999
425,0.424,0.1601,0.424,0.08005
426,0.425,0.20149999999999998,0.425,0.10074999999999999
427,0.426,0.2539,0.426,0.12695
428,0.427,0.3206,0.427,0.1603
429,0.428,0.3968,0.428,0.1984
430,0.429,0.4748,0.429,0.2374
431,0.43,0.5511,0.43,0.27555
432,0.431,0.6248,0.431,0.3124
433,0.432,0.6941999999999999,0.432,0.34709999999999996
434,0.433,0.7605999999999999,0.433,0.38029999999999997
435,0.434,0.8191,0.434,0.40955
436,0.435,0.8716,0.435,0.4358
437,0.436,0.9076000000000001,0.436,0.45380000000000004
438,0.437,0.9276,0.437,0.4638
439,0.438,0.9348,0.438,0.4674
440,0.439,0.9258,0.439,0.4629
441,0.44,0.9026000000000001,0.44,0.45130000000000003
442,0.441,0.8681,0.441,0.43405
443,0.442,0.8217,0.442,0.41085
444,0.443,0.7722,0.443,0.3861
445,0.444,0.7196,0.444,0.3598
446,0.445,0.6673,0.445,0.33365
447,0.446,0.6189,0.446,0.30945
448,0.447,0.5716,0.447,0.2858
449,0.448,0.5257000000000001,0.448,0.26285000000000003
450,0.449,0.4875,0.449,0.24375
451,0.45,0.4517,0.45,0.22585
452,0.451,0.4213,0.451,0.21065
453,0.452,0.3947,0.452,0.19735
454,0.453,0.3695,0.453,0.18475
455,0.454,0.3481,0.454,0.17405
456,0.455,0.32870000000000005,0.455,0.16435000000000002
457,0.456,0.3104,0.456,0.1552
458,0.457,0.2949,0.457,0.14745
459,0.458,0.2808,0.458,0.1404
460,0.459,0.2671,0.459,0.13355
461,0.46,0.2546,0.46,0.1273
462,0.461,0.2439,0.461,0.12195
463,0.462,0.2329,0.462,0.11645
464,0.463,0.2238,0.463,0.1119
465,0.464,0.2139,0.464,0.10695
466,0.465,0.2047,0.465,0.10235
467,0.466,0.1967,0.466,0.09835
468,0.467,0.1893,0.467,0.09465
469,0.468,0.182,0.468,0.091
470,0.469,0.1754,0.469,0.0877
471,0.47,0.1683,0.47,0.08415
472,0.471,0.16369999999999998,0.471,0.08184999999999999
473,0.472,0.15789999999999998,0.472,0.07894999999999999
474,0.473,0.1522,0.473,0.0761
475,0.474,0.1467,0.474,0.07335
476,0.475,0.1425,0.475,0.07125
477,0.476,0.1381,0.476,0.06905
478,0.477,0.1347,0.477,0.06735
479,0.478,0.1304,0.478,0.0652
480,0.479,0.1274,0.479,0.0637
481,0.48,0.12290000000000001,0.48,0.061450000000000005
482,0.481,0.12010000000000001,0.481,0.060050000000000006
483,0.482,0.11689999999999999,0.482,0.058449999999999995
484,0.483,0.114,0.483,0.057
485,0.484,0.11120000000000001,0.484,0.055600000000000004
486,0.485,0.10840000000000001,0.485,0.054200000000000005
487,0.486,0.1062,0.486,0.0531
488,0.487,0.1039,0.487,0.05195
489,0.488,0.10110000000000001,0.488,0.050550000000000005
490,0.489,0.09975,0.489,0.049875
491,0.49,0.09733,0.49,0.048665
492,0.491,0.09584000000000001,0.491,0.047920000000000004
493,0.492,0.09333999999999999,0.492,0.046669999999999996
494,0.493,0.09139,0.493,0.045695
495,0.494,0.08967,0.494,0.044835
496,0.495,0.0885,0.495,0.04425
497,0.496,0.08647,0.496,0.043235
498,0.497,0.08553000000000001,0.497,0.042765000000000004
499,0.498,0.08475,0.498,0.042375
500,0.499,0.08248,0.499,0.04124
501,0.5,0.08194,0.5,0.04097
502,0.501,0.08069,0.501,0.040345
503,0.502,0.07959000000000001,0.502,0.039795000000000004
504,0.503,0.07905,0.503,0.039525
505,0.504,0.07749,0.504,0.038745
506,0.505,0.07686000000000001,0.505,0.038430000000000006
507,0.506,0.07545,0.506,0.037725
508,0.507,0.07452,0.507,0.03726
509,0.508,0.07404999999999999,0.508,0.037024999999999995
510,0.509,0.07374,0.509,0.03687
511,0.51,0.07256,0.51,0.03628
512,0.511,0.07279999999999999,0.511,0.036399999999999995
513,0.512,0.07279999999999999,0.512,0.036399999999999995
514,0.513,0.07108,0.513,0.03554
515,0.514,0.07014000000000001,0.514,0.035070000000000004
516,0.515,0.06944,0.515,0.03472
517,0.516,0.06936,0.516,0.03468
518,0.517,0.06905,0.517,0.034525
519,0.518,0.06796,0.518,0.03398
520,0.519,0.06796,0.519,0.03398
521,0.52,0.06702000000000001,0.52,0.033510000000000005
522,0.521,0.06593,0.521,0.032965
523,0.522,0.06593,0.522,0.032965
524,0.523,0.06632,0.523,0.03316
525,0.524,0.06546,0.524,0.03273
526,0.525,0.06475,0.525,0.032375
527,0.526,0.06382,0.526,0.03191
528,0.527,0.06468,0.527,0.03234
529,0.528,0.06366,0.528,0.03183
530,0.529,0.06366,0.529,0.03183
531,0.53,0.06311,0.53,0.031555
532,0.531,0.06287999999999999,0.531,0.031439999999999996
533,0.532,0.06257,0.532,0.031285
534,0.533,0.062490000000000004,0.533,0.031245000000000002
535,0.534,0.062180000000000006,0.534,0.031090000000000003
536,0.535,0.0621,0.535,0.03105
537,0.536,0.061470000000000004,0.536,0.030735000000000002
538,0.537,0.06171,0.537,0.030855
539,0.538,0.06108,0.538,0.03054
540,0.539,0.06138999999999999,0.539,0.030694999999999997
541,0.54,0.06085,0.54,0.030425
542,0.541,0.06038,0.541,0.03019
543,0.542,0.06054,0.542,0.03027
544,0.543,0.061630000000000004,0.543,0.030815000000000002
545,0.544,0.06069,0.544,0.030345
546,0.545,0.0603,0.545,0.03015
547,0.546,0.05999,0.546,0.029995
548,0.547,0.06061,0.547,0.030305
549,0.548,0.06054,0.548,0.03027
550,0.549,0.06022,0.549,0.03011
551,0.55,0.05983,0.55,0.029915
552,0.551,0.06093,0.551,0.030465
553,0.552,0.05999,0.552,0.029995
554,0.553,0.06038,0.553,0.03019
555,0.554,0.06038,0.554,0.03019
556,0.555,0.06108,0.555,0.03054
557,0.556,0.06093,0.556,0.030465
558,0.557,0.06108,0.557,0.03054
559,0.558,0.061160000000000006,0.558,0.030580000000000003
560,0.559,0.06194000000000001,0.559,0.030970000000000004
561,0.56,0.061790000000000005,0.56,0.030895000000000002
562,0.561,0.06240999999999999,0.561,0.031204999999999997
563,0.562,0.06311,0.562,0.031555
564,0.563,0.0635,0.563,0.03175
565,0.564,0.06319,0.564,0.031595
566,0.565,0.06428,0.565,0.03214
