Sept. 9, 2026   16:26:14
Open Circuit Potential - Time
File: ni_foil_ocv 30 min
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Sample Interval (V) = 1
Run Time (sec) = 1.8e+3

Time/sec, Potential/V

5.540e+2, -2.852e-1
5.550e+2, -2.852e-1
5.560e+2, -2.851e-1
5.570e+2, -2.851e-1
5.580e+2, -2.850e-1
5.590e+2, -2.850e-1
5.600e+2, -2.849e-1
5.610e+2, -2.849e-1
5.620e+2, -2.848e-1
5.630e+2, -2.848e-1
5.640e+2, -2.847e-1
5.650e+2, -2.847e-1
5.660e+2, -2.846e-1
5.670e+2, -2.846e-1
5.680e+2, -2.846e-1
5.690e+2, -2.845e-1
5.700e+2, -2.845e-1
5.710e+2, -2.844e-1
5.720e+2, -2.844e-1
5.730e+2, -2.843e-1
5.740e+2, -2.843e-1
5.750e+2, -2.843e-1
5.760e+2, -2.842e-1
5.770e+2, -2.842e-1
5.780e+2, -2.841e-1
5.790e+2, -2.841e-1
5.800e+2, -2.840e-1
5.810e+2, -2.840e-1
5.820e+2, -2.839e-1
5.830e+2, -2.839e-1
5.840e+2, -2.838e-1
5.850e+2, -2.838e-1
5.860e+2, -2.837e-1
5.870e+2, -2.837e-1
5.880e+2, -2.836e-1
5.890e+2, -2.836e-1
5.900e+2, -2.835e-1
5.910e+2, -2.835e-1
5.920e+2, -2.834e-1
5.930e+2, -2.834e-1
5.940e+2, -2.833e-1
5.950e+2, -2.833e-1
5.960e+2, -2.832e-1
5.970e+2, -2.831e-1
5.980e+2, -2.831e-1
5.990e+2, -2.831e-1
6.000e+2, -2.831e-1
6.010e+2, -2.831e-1
6.020e+2, -2.830e-1
6.030e+2, -2.830e-1
6.040e+2, -2.830e-1
6.050e+2, -2.829e-1
6.060e+2, -2.829e-1
6.070e+2, -2.828e-1
6.080e+2, -2.828e-1
6.090e+2, -2.827e-1
6.100e+2, -2.827e-1
6.110e+2, -2.827e-1
6.120e+2, -2.826e-1
6.130e+2, -2.826e-1
6.140e+2, -2.826e-1
6.150e+2, -2.825e-1
6.160e+2, -2.825e-1
6.170e+2, -2.825e-1
6.180e+2, -2.824e-1
6.190e+2, -2.824e-1
6.200e+2, -2.823e-1
6.210e+2, -2.823e-1
6.220e+2, -2.823e-1
6.230e+2, -2.822e-1
6.240e+2, -2.822e-1
6.250e+2, -2.821e-1
6.260e+2, -2.821e-1
6.270e+2, -2.820e-1
6.280e+2, -2.820e-1
6.290e+2, -2.820e-1
6.300e+2, -2.819e-1
6.310e+2, -2.819e-1
6.320e+2, -2.818e-1
6.330e+2, -2.818e-1
6.340e+2, -2.817e-1
6.350e+2, -2.817e-1
6.360e+2, -2.816e-1
6.370e+2, -2.816e-1
6.380e+2, -2.816e-1
6.390e+2, -2.815e-1
6.400e+2, -2.815e-1
6.410e+2, -2.814e-1
6.420e+2, -2.814e-1
6.430e+2, -2.814e-1
6.440e+2, -2.813e-1
6.450e+2, -2.813e-1
6.460e+2, -2.812e-1
6.470e+2, -2.812e-1
6.480e+2, -2.812e-1
6.490e+2, -2.811e-1
6.500e+2, -2.811e-1
6.510e+2, -2.810e-1
6.520e+2, -2.810e-1
6.530e+2, -2.809e-1
6.540e+2, -2.809e-1
6.550e+2, -2.809e-1
6.560e+2, -2.808e-1
6.570e+2, -2.808e-1
6.580e+2, -2.807e-1
6.590e+2, -2.807e-1
6.600e+2, -2.806e-1
6.610e+2, -2.806e-1
6.620e+2, -2.806e-1
6.630e+2, -2.805e-1
6.640e+2, -2.805e-1
6.650e+2, -2.804e-1
6.660e+2, -2.804e-1
6.670e+2, -2.803e-1
6.680e+2, -2.803e-1
6.690e+2, -2.803e-1
6.700e+2, -2.802e-1
6.710e+2, -2.802e-1
6.720e+2, -2.801e-1
6.730e+2, -2.801e-1
6.740e+2, -2.800e-1
6.750e+2, -2.800e-1
6.760e+2, -2.799e-1
6.770e+2, -2.799e-1
6.780e+2, -2.798e-1
6.790e+2, -2.798e-1
6.800e+2, -2.797e-1
6.810e+2, -2.797e-1
6.820e+2, -2.796e-1
6.830e+2, -2.796e-1
6.840e+2, -2.795e-1
6.850e+2, -2.795e-1
6.860e+2, -2.795e-1
6.870e+2, -2.794e-1
6.880e+2, -2.794e-1
6.890e+2, -2.793e-1
6.900e+2, -2.793e-1
6.910e+2, -2.792e-1
6.920e+2, -2.792e-1
6.930e+2, -2.792e-1
6.940e+2, -2.791e-1
6.950e+2, -2.791e-1
6.960e+2, -2.791e-1
6.970e+2, -2.790e-1
6.980e+2, -2.790e-1
6.990e+2, -2.790e-1
7.000e+2, -2.789e-1
7.010e+2, -2.789e-1
7.020e+2, -2.788e-1
7.030e+2, -2.788e-1
7.040e+2, -2.787e-1
7.050e+2, -2.787e-1
7.060e+2, -2.787e-1
7.070e+2, -2.786e-1
7.080e+2, -2.786e-1
7.090e+2, -2.785e-1
7.100e+2, -2.785e-1
7.110e+2, -2.785e-1
7.120e+2, -2.784e-1
7.130e+2, -2.784e-1
7.140e+2, -2.783e-1
7.150e+2, -2.783e-1
7.160e+2, -2.783e-1
7.170e+2, -2.782e-1
7.180e+2, -2.782e-1
7.190e+2, -2.781e-1
7.200e+2, -2.781e-1
7.210e+2, -2.780e-1
7.220e+2, -2.780e-1
7.230e+2, -2.779e-1
7.240e+2, -2.779e-1
7.250e+2, -2.779e-1
7.260e+2, -2.778e-1
7.270e+2, -2.778e-1
7.280e+2, -2.777e-1
7.290e+2, -2.777e-1
7.300e+2, -2.777e-1
7.310e+2, -2.776e-1
7.320e+2, -2.776e-1
7.330e+2, -2.775e-1
7.340e+2, -2.775e-1
7.350e+2, -2.775e-1
7.360e+2, -2.774e-1
7.370e+2, -2.774e-1
7.380e+2, -2.773e-1
7.390e+2, -2.773e-1
7.400e+2, -2.772e-1
7.410e+2, -2.772e-1
7.420e+2, -2.772e-1
7.430e+2, -2.771e-1
7.440e+2, -2.771e-1
7.450e+2, -2.770e-1
7.460e+2, -2.770e-1
7.470e+2, -2.769e-1
7.480e+2, -2.769e-1
7.490e+2, -2.768e-1
7.500e+2, -2.768e-1
7.510e+2, -2.768e-1
7.520e+2, -2.767e-1
7.530e+2, -2.767e-1
7.540e+2, -2.766e-1
7.550e+2, -2.766e-1
7.560e+2, -2.765e-1
7.570e+2, -2.765e-1
7.580e+2, -2.765e-1
7.590e+2, -2.764e-1
7.600e+2, -2.764e-1
7.610e+2, -2.763e-1
7.620e+2, -2.763e-1
7.630e+2, -2.763e-1
7.640e+2, -2.762e-1
7.650e+2, -2.762e-1
7.660e+2, -2.762e-1
7.670e+2, -2.761e-1
7.680e+2, -2.761e-1
7.690e+2, -2.761e-1
7.700e+2, -2.760e-1
7.710e+2, -2.760e-1
7.720e+2, -2.759e-1
7.730e+2, -2.759e-1
7.740e+2, -2.758e-1
7.750e+2, -2.758e-1
7.760e+2, -2.758e-1
7.770e+2, -2.757e-1
7.780e+2, -2.757e-1
7.790e+2, -2.756e-1
7.800e+2, -2.756e-1
7.810e+2, -2.755e-1
7.820e+2, -2.755e-1
7.830e+2, -2.754e-1
7.840e+2, -2.754e-1
7.850e+2, -2.753e-1
7.860e+2, -2.753e-1
7.870e+2, -2.753e-1
7.880e+2, -2.752e-1
7.890e+2, -2.752e-1
7.900e+2, -2.752e-1
7.910e+2, -2.751e-1
7.920e+2, -2.751e-1
7.930e+2, -2.750e-1
7.940e+2, -2.750e-1
7.950e+2, -2.750e-1
7.960e+2, -2.749e-1
7.970e+2, -2.749e-1
7.980e+2, -2.748e-1
7.990e+2, -2.748e-1
8.000e+2, -2.748e-1
8.010e+2, -2.747e-1
8.020e+2, -2.747e-1
8.030e+2, -2.746e-1
8.040e+2, -2.746e-1
8.050e+2, -2.745e-1
8.060e+2, -2.745e-1
8.070e+2, -2.744e-1
8.080e+2, -2.744e-1
8.090e+2, -2.743e-1
8.100e+2, -2.743e-1
8.110e+2, -2.742e-1
8.120e+2, -2.742e-1
8.130e+2, -2.741e-1
8.140e+2, -2.741e-1
8.150e+2, -2.741e-1
8.160e+2, -2.740e-1
8.170e+2, -2.740e-1
8.180e+2, -2.739e-1
8.190e+2, -2.739e-1
8.200e+2, -2.739e-1
8.210e+2, -2.738e-1
8.220e+2, -2.738e-1
8.230e+2, -2.738e-1
8.240e+2, -2.737e-1
8.250e+2, -2.737e-1
8.260e+2, -2.737e-1
8.270e+2, -2.736e-1
8.280e+2, -2.736e-1
8.290e+2, -2.736e-1
8.300e+2, -2.735e-1
8.310e+2, -2.735e-1
8.320e+2, -2.734e-1
8.330e+2, -2.734e-1
8.340e+2, -2.734e-1
8.350e+2, -2.733e-1
8.360e+2, -2.733e-1
8.370e+2, -2.733e-1
8.380e+2, -2.732e-1
8.390e+2, -2.732e-1
8.400e+2, -2.731e-1
8.410e+2, -2.731e-1
8.420e+2, -2.731e-1
8.430e+2, -2.730e-1
8.440e+2, -2.730e-1
8.450e+2, -2.729e-1
8.460e+2, -2.729e-1
8.470e+2, -2.728e-1
8.480e+2, -2.728e-1
8.490e+2, -2.728e-1
8.500e+2, -2.727e-1
8.510e+2, -2.727e-1
8.520e+2, -2.726e-1
8.530e+2, -2.726e-1
8.540e+2, -2.726e-1
8.550e+2, -2.725e-1
8.560e+2, -2.725e-1
8.570e+2, -2.724e-1
8.580e+2, -2.724e-1
8.590e+2, -2.724e-1
8.600e+2, -2.723e-1
8.610e+2, -2.723e-1
8.620e+2, -2.722e-1
8.630e+2, -2.722e-1
8.640e+2, -2.721e-1
8.650e+2, -2.721e-1
8.660e+2, -2.720e-1
8.670e+2, -2.720e-1
8.680e+2, -2.719e-1
8.690e+2, -2.719e-1
8.700e+2, -2.719e-1
8.710e+2, -2.718e-1
8.720e+2, -2.718e-1
8.730e+2, -2.718e-1
8.740e+2, -2.717e-1
8.750e+2, -2.717e-1
8.760e+2, -2.716e-1
8.770e+2, -2.716e-1
8.780e+2, -2.716e-1
8.790e+2, -2.715e-1
8.800e+2, -2.715e-1
8.810e+2, -2.714e-1
8.820e+2, -2.714e-1
8.830e+2, -2.714e-1
8.840e+2, -2.713e-1
8.850e+2, -2.713e-1
8.860e+2, -2.713e-1
8.870e+2, -2.712e-1
8.880e+2, -2.712e-1
8.890e+2, -2.712e-1
8.900e+2, -2.711e-1
8.910e+2, -2.711e-1
8.920e+2, -2.710e-1
8.930e+2, -2.710e-1
8.940e+2, -2.710e-1
8.950e+2, -2.709e-1
8.960e+2, -2.709e-1
8.970e+2, -2.708e-1
8.980e+2, -2.707e-1
8.990e+2, -2.707e-1
9.000e+2, -2.706e-1
9.010e+2, -2.706e-1
9.020e+2, -2.705e-1
9.030e+2, -2.705e-1
9.040e+2, -2.704e-1
9.050e+2, -2.704e-1
9.060e+2, -2.704e-1
9.070e+2, -2.704e-1
9.080e+2, -2.703e-1
